mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	variant_allele_frequency
0	PyClone_sim50	5	0.9275939076458773	0.055408448665373575	0.400990099009901
1	PyClone_sim50	4	0.7534877637438988	0.2488030509305737	0.22627737226277372
10	PyClone_sim50	14	0.6479512935670898	0.0771655590408151	0.3365617433414044
11	PyClone_sim50	13	0.7856961591705569	0.10301036817564545	0.23381294964028776
12	PyClone_sim50	5	0.7687793181586463	0.2313689950553508	0.2912280701754386
13	PyClone_sim50	10	0.699403662848223	0.04857042610924219	0.5614035087719298
14	PyClone_sim50	16	0.5088370638423853	0.09256572536467748	0.29310344827586204
15	PyClone_sim50	15	0.5485591844384887	0.0943368853858473	0.29573170731707316
16	PyClone_sim50	18	0.5536483206463222	0.33466354799409603	0.19098712446351931
17	PyClone_sim50	17	0.5978447465599263	0.08907731895893782	0.35454545454545455
18	PyClone_sim50	19	0.5803141025605468	0.23601634709150504	0.213768115942029
19	PyClone_sim50	0	0.26971015530886	0.10117378699884641	0.13612565445026178
2	PyClone_sim50	7	0.5959008185979876	0.06881443755411093	0.3801369863013699
20	PyClone_sim50	1	0.6065417527365962	0.2912244054981644	0.1330128205128205
21	PyClone_sim50	0	0.25169524409162325	0.09394808884369117	0.125
22	PyClone_sim50	0	0.20644747370300584	0.0678480996140747	0.10256410256410256
23	PyClone_sim50	2	0.6149833232857204	0.27200761733771284	0.15254237288135594
24	PyClone_sim50	0	0.22037387905986316	0.07708116729058154	0.10606060606060606
25	PyClone_sim50	0	0.190842897684617	0.050313047292544995	0.058823529411764705
26	PyClone_sim50	0	0.15341644361156898	0.06687477139699302	0.04245283018867924
27	PyClone_sim50	0	0.1592168236782496	0.06431235198109155	0.04120879120879121
28	PyClone_sim50	0	0.23458404977599598	0.05380426722450858	0.09389671361502347
29	PyClone_sim50	3	0.23767831781730697	0.08221159256820164	0.08411214953271028
3	PyClone_sim50	6	0.7390994690820429	0.21831198346272573	0.38562091503267976
30	PyClone_sim50	0	0.23683476670260803	0.06421659327743086	0.07553956834532374
31	PyClone_sim50	20	0.2757741831428053	0.13314582077886386	0.07297830374753451
32	PyClone_sim50	0	0.18660598037760817	0.06549863100826232	0.0625
33	PyClone_sim50	0	0.14398109368600506	0.06410155424549109	0.03865979381443299
34	PyClone_sim50	0	0.2690889251379409	0.10261486351774864	0.13529411764705881
35	PyClone_sim50	21	0.2452561805369043	0.12668481016303987	0.06739526411657559
36	PyClone_sim50	0	0.1473880100737574	0.04462480792948771	0.05084745762711865
37	PyClone_sim50	0	0.19528764902398676	0.05233565192723208	0.06040268456375839
38	PyClone_sim50	0	0.16997829548328558	0.04503082340194914	0.06282722513089005
39	PyClone_sim50	0	0.09656763475163024	0.05831133644591751	0.020869565217391306
4	PyClone_sim50	9	0.6948316252920599	0.08608499123184436	0.43529411764705883
5	PyClone_sim50	8	0.579479174014344	0.24693060646479453	0.32451499118165783
6	PyClone_sim50	11	0.736723951953389	0.2428411925360154	0.2996742671009772
7	PyClone_sim50	10	0.74649354489515	0.06646632515298835	0.5606060606060606
8	PyClone_sim50	10	0.7178220598524382	0.05304400116598018	0.7270588235294118
9	PyClone_sim50	12	0.7002172787240886	0.2795782946818739	0.2764505119453925
