mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	variant_allele_frequency
0	PyClone_sim70	11	0.9387335832965069	0.0495263841888848	0.46898263027295284
1	PyClone_sim70	10	0.5344497306654793	0.3196934060114394	0.19795918367346937
10	PyClone_sim70	21	0.8194744066018881	0.09876850562550624	0.2440677966101695
11	PyClone_sim70	20	0.6708161150575015	0.2564228761290653	0.19047619047619047
12	PyClone_sim70	19	0.7086640140338489	0.10250208842486871	0.20972644376899696
13	PyClone_sim70	18	0.6031967011943152	0.10125915303653353	0.18064516129032257
14	PyClone_sim70	24	0.47591488022714923	0.131198379916452	0.3035294117647059
15	PyClone_sim70	23	0.58546580917772	0.07394737876900125	0.31519274376417233
16	PyClone_sim70	26	0.6387354763941753	0.2907610417530812	0.16099773242630386
17	PyClone_sim70	25	0.506189394680413	0.09308201506547127	0.29411764705882354
18	PyClone_sim70	28	0.43105577198176287	0.06979958359375418	0.1703056768558952
19	PyClone_sim70	27	0.4165833076419495	0.0839515867499802	0.1625
2	PyClone_sim70	12	0.6864168361465247	0.20800528282216602	0.4195121951219512
20	PyClone_sim70	4	0.39324774029409904	0.16758600958092734	0.11659192825112108
21	PyClone_sim70	5	0.7347143374926004	0.21454698147741602	0.19426048565121412
22	PyClone_sim70	6	0.2928125985936246	0.06822490987656671	0.11377245508982035
23	PyClone_sim70	7	0.22411626445162378	0.05945766009652632	0.08571428571428572
24	PyClone_sim70	0	0.19858201113045504	0.11002152122297922	0.05162523900573614
25	PyClone_sim70	1	0.2042342202549665	0.07595588083122132	0.06907894736842106
26	PyClone_sim70	2	0.4551291199023651	0.18628022214975276	0.23469387755102042
27	PyClone_sim70	3	0.3724609093197025	0.17233605040799632	0.09364548494983277
28	PyClone_sim70	8	0.14864166626781428	0.04769713327324403	0.05405405405405406
29	PyClone_sim70	9	0.12109758280929799	0.0778396652792403	0.024761904761904763
3	PyClone_sim70	11	0.9013928067744792	0.0667039336045246	0.37383177570093457
30	PyClone_sim70	8	0.16996687636165414	0.05247273892942427	0.05128205128205128
31	PyClone_sim70	7	0.2351918997634799	0.060414351333503126	0.0903954802259887
32	PyClone_sim70	32	0.16074752303790102	0.09416937141588101	0.04139433551198257
33	PyClone_sim70	8	0.17126933368957728	0.04725150872138665	0.06481481481481481
34	PyClone_sim70	31	0.23112324368714413	0.13479754671899694	0.05228758169934641
35	PyClone_sim70	29	0.1041190760109364	0.040742895484254915	0.036458333333333336
36	PyClone_sim70	30	0.5528579935960781	0.18423954203970452	0.14864864864864866
37	PyClone_sim70	29	0.09703118539727357	0.050272493633127	0.02506265664160401
38	PyClone_sim70	22	0.677713215103478	0.26912001668054275	0.1968503937007874
39	PyClone_sim70	9	0.0478753225673153	0.036223320314745434	0.00954653937947494
4	PyClone_sim70	11	0.971086914301984	0.02496795465373515	0.8940568475452196
5	PyClone_sim70	13	0.8318589119409373	0.08662449146391812	0.3986784140969163
6	PyClone_sim70	15	0.649016785501759	0.2866472860070598	0.16135458167330677
7	PyClone_sim70	14	0.7092705862925498	0.21428121410997678	0.18858560794044665
8	PyClone_sim70	17	0.6023346793281527	0.22633322679606552	0.213768115942029
9	PyClone_sim70	16	0.6852947580648808	0.19680080553593138	0.22509225092250923
